Formula,A,B,ARR_A,ARR_B,MPR_A,MPR_B,END_A,END_B,OF,t,BL_AB,BL_AX,BL_BX,ENR,r_A12,r_A6,r_B,EN_A,EN_B,R_A,IE_A,D_A,TC_A,VLC_A,MP_A,BP_A,CR_A,VR_A,AM_A,R_B,IE_B,D_B,TC_B,VLC_B,MP_B,BP_B,CR_B,VR_B,AM_B,Cubic,Hexagonal,Monoclinic,Orthorhombic,Tetragonal,Triclinic,Trigonal
AcDyO3,Ac,Dy,3.25,3.133333333,24.35614422,30.99705666,2.34,2.22,0.707142857,0.745568656,239.998704,185.507196,185.556444,0.928870293,1.12,1.12,0.99,1.1,1.22,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,188,573,8.55,120.0,6,1685.0,2840.0,120,229,162.5,0,0,0,1,0,0,0
AcErO3,Ac,Er,3.25,3.15,24.35614422,33.14937454,2.34,2.2,0.635714286,0.77812624,239.998236,185.507196,185.5644,0.96069869,1.12,1.12,0.89,1.1,1.24,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,189,589,9.066,60.0,8,1802.0,3141.0,120,235,167.26,0,0,0,1,0,0,0
AcEuO3,Ac,Eu,3.25,3.3,24.35614422,20.14348786,2.34,2.24,0.757142857,0.724353288,239.9991,185.507196,185.548416,0.910569106,1.12,1.12,1.06,1.1,1.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,198,547,5.243,100.0,3,1095.0,1802.0,120,233,151.964,0,0,0,1,0,0,0
AcFeO3,Ac,Fe,3.25,2.1,24.35614422,33.31493745,2.34,1.61,0.478571429,0.860825647,218.952039,185.507196,164.766711,0.777777778,1.12,1.12,0.67,1.1,1.83,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,126,762,7.874,79.0,8,1811.0,3134.0,99,194,55.84,1,0,0,1,0,0,0
AcGaO3,Ac,Ga,3.25,2.25,24.35614422,5.572295806,2.34,1.63,0.442857143,0.882133212,241.954631,185.507196,187.760879,0.806930693,1.12,1.12,0.62,1.1,1.81,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,135,579,5.907,29.0,3,302.91,2477.0,122,187,69.723,1,0,0,1,0,0,0
AcGdO3,Ac,Gd,3.25,3.216666667,24.35614422,29.17586461,2.34,2.24,0.671428571,0.761499611,239.9991,185.507196,185.548416,0.957264957,1.12,1.12,0.94,1.1,1.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,193,593,7.895,91.0,4,1586.0,3546.0,120,237,157.25,0,0,0,1,0,0,0
AcGeO3,Ac,Ge,3.25,2.033333333,24.35614422,22.28476821,2.34,1.43,0.45,0.877787728,239.925471,185.507196,185.815959,0.704433498,1.12,1.12,0.63,1.1,2.01,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,122,762,5.323,60.0,4,1211.4,3106.0,120,211,72.63,0,0,0,1,0,0,0
AcHfO3,Ac,Hf,3.25,2.916666667,24.35614422,46.10007358,2.34,2.14,0.507142857,0.844506677,239.9964,185.507196,185.587836,1.014218009,1.12,1.12,0.71,1.1,1.3,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,658,13.31,0.00943,12,2506.0,4876.0,120,212,178.49,0,0,0,1,0,0,0
AcHgO3,Ac,Hg,3.25,2.516666667,24.35614422,4.310522443,2.34,1.44,0.792857143,0.70992394,239.9271,185.507196,185.813376,0.573705179,1.12,1.12,1.11,1.1,2.0,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,151,1007,13.5336,79.0,4,234.32,629.88,120,209,200.59,0,0,0,1,0,0,0
AcHoO3,Ac,Ho,3.25,3.166666667,24.35614422,32.13760118,2.34,2.21,0.642857143,0.774743082,239.998479,185.507196,185.560431,0.960869565,1.12,1.12,0.9,1.1,1.23,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,190,581,8.795,29.0,7,1747.0,2973.0,120,216,164.93033,0,0,0,1,0,0,0
AcInO3,Ac,In,3.25,2.766666667,24.35614422,7.905629139,2.34,1.66,0.571428571,0.809958677,241.958384,185.507196,187.751996,0.754545455,1.12,1.12,0.8,1.1,1.78,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,166,558,7.31,29.0,13,429.75,2345.0,122,193,114.818,0,0,0,1,0,0,0
AcIrO3,Ac,Ir,3.25,2.266666667,24.35614422,50.01839588,2.34,1.24,0.45,0.877787728,239.8911,185.507196,185.861616,0.610837438,1.12,1.12,0.63,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,136,880,22.56,31.0,17,2719.0,4701.0,120,202,192.22,0,0,0,1,0,0,0
AcKO3,Ac,K,3.25,4.05,24.35614422,6.190765269,2.34,2.62,0.985714286,0.640974492,315.992944,185.507196,261.382204,0.942446043,1.12,1.12,1.38,1.1,0.82,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,243,419,0.862,140.0,1,336.53,1032.0,196,275,39.0983,0,0,0,1,0,0,0
AcLaO3,Ac,La,3.25,3.25,24.35614422,21.90949227,2.34,2.34,0.735714286,0.733295921,240.0,185.507196,185.507196,0.962962963,1.12,1.12,1.03,1.1,1.1,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,195,538,6.145,17.0,5,1191.0,3737.0,120,240,138.9055,1,0,0,0,0,0,0
AcLiO3,Ac,Li,3.25,2.783333333,24.35614422,8.345290655,2.34,2.46,0.542857143,0.824957911,247.998704,185.507196,193.455356,1.138888889,1.12,1.12,0.76,1.1,0.98,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,167,520,0.534,84.8,1,453.65,1615.0,128,182,7.0,1,0,0,0,0,0,0
AcLuO3,Ac,Lu,3.25,2.9,24.35614422,35.61442237,2.34,2.17,0.614285714,0.788455349,239.997399,185.507196,185.576199,0.960176991,1.12,1.12,0.86,1.1,1.27,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,174,523,9.84,0.12,11,1936.0,3675.0,120,221,174.9667,0,0,0,1,0,0,0
